0                    3165
1                    6654
2                    4275
3                    3387
4                    2506
5                    1760
6                    1266
7                    945
8                    751
9                    644
10                    540
11                    405
12                    376
13                    245
14                    234
15                    191
16                    147
17                    147
18                    123
19                    116
20                    100
21                    86
22                    82
23                    63
24                    60
25                    52
26                    70
27                    50
28                    34
29                    39
30                    32
31                    25
32                    12
33                    9
34                    13
35                    12
36                    6
37                    9
38                    7
39                    10
40                    5
41                    4
42                    4
43                    1
44                    3
45                    2
46                    4
47                    4
48                    6
49                    2
50                    1
51                    1
52                    2
53                    1
54                    1
55                    1
56                    1
57                    1
64                    1
68                    1
76                    1
77                    1
89                    1
102                    1
